country,region_name,scenario,period,stress_index,yield_loss_pct,volume_at_risk_mt,annual_mt,sourcing_pct,scenario_name,year,risk_bucket
Costa Rica,Tarrazú,ssp245,near_term,0.24702624904364345,0.1352696867827326,933.3608388008549,6900,4.0,Delayed Transition,2030,Low Risk (<20%)
Costa Rica,Tarrazú,ssp245,mid_term,0.24089858315140006,0.13067393736355004,901.6501678084953,6900,4.0,Delayed Transition,2050,Low Risk (<20%)
Costa Rica,Tarrazú,ssp585,near_term,0.20920654354616997,0.10690490765962747,737.6438628514295,6900,4.0,Current Policies,2030,Low Risk (<20%)
Costa Rica,Tarrazú,ssp585,mid_term,0.08698393242247403,0.043491966211237014,300.09456685753537,6900,4.0,Current Policies,2050,Low Risk (<20%)
Costa Rica,West Valley,ssp126,near_term,0.13493634259290999,0.06746817129645499,404.80902777872996,6000,3.5,Net-Zero 2050,2030,Low Risk (<20%)
Costa Rica,West Valley,ssp126,mid_term,0.12535562322810295,0.06267781161405148,376.06686968430887,6000,3.5,Net-Zero 2050,2050,Low Risk (<20%)
Costa Rica,West Valley,ssp245,near_term,0.28932854718305173,0.1669964103872888,1001.9784623237327,6000,3.5,Delayed Transition,2030,Low Risk (<20%)
Costa Rica,West Valley,ssp245,mid_term,0.09673901145309195,0.048369505726545976,290.2170343592759,6000,3.5,Delayed Transition,2050,Low Risk (<20%)
Costa Rica,West Valley,ssp585,near_term,0.2561092052083463,0.14208190390625972,852.4914234375583,6000,3.5,Current Policies,2030,Low Risk (<20%)
Costa Rica,West Valley,ssp585,mid_term,0.11180347496513263,0.05590173748256631,335.41042489539785,6000,3.5,Current Policies,2050,Low Risk (<20%)
Mexico,Chiapas,ssp126,near_term,0.10998141799739095,0.05499070899869547,379.4358920909988,6900,4.0,Net-Zero 2050,2030,Low Risk (<20%)
Mexico,Chiapas,ssp126,mid_term,0.12699457895499655,0.06349728947749828,438.1312973947381,6900,4.0,Net-Zero 2050,2050,Low Risk (<20%)
Mexico,Chiapas,ssp245,near_term,0.10124195815378335,0.05062097907689168,349.2847556305526,6900,4.0,Delayed Transition,2030,Low Risk (<20%)
Mexico,Chiapas,ssp245,mid_term,0.07316465139319189,0.036582325696595946,252.41804730651202,6900,4.0,Delayed Transition,2050,Low Risk (<20%)
Mexico,Chiapas,ssp585,near_term,0.11193956205568975,0.055969781027844875,386.19148909212964,6900,4.0,Current Policies,2030,Low Risk (<20%)
Mexico,Chiapas,ssp585,mid_term,0.11821915599383648,0.05910957799691824,407.85608817873583,6900,4.0,Current Policies,2050,Low Risk (<20%)
Mexico,Veracruz,ssp126,near_term,0.07513619316147524,0.03756809658073762,127.7315283745079,3400,2.0,Net-Zero 2050,2030,Low Risk (<20%)
Mexico,Veracruz,ssp126,mid_term,0.0971232028933664,0.0485616014466832,165.1094449187229,3400,2.0,Net-Zero 2050,2050,Low Risk (<20%)
Mexico,Veracruz,ssp245,near_term,0.11123188768710097,0.05561594384355049,189.09420906807165,3400,2.0,Delayed Transition,2030,Low Risk (<20%)
Mexico,Veracruz,ssp245,mid_term,0.08186823462972097,0.040934117314860484,139.17599887052563,3400,2.0,Delayed Transition,2050,Low Risk (<20%)
Mexico,Veracruz,ssp585,near_term,0.11719008652555203,0.058595043262776016,199.22314709343846,3400,2.0,Current Policies,2030,Low Risk (<20%)
Mexico,Veracruz,ssp585,mid_term,0.12426899647331446,0.06213449823665723,211.2572940046346,3400,2.0,Current Policies,2050,Low Risk (<20%)
Peru,Cajamarca,ssp126,near_term,0.03377418583258987,0.016887092916294935,72.61449954006822,4300,2.5,Net-Zero 2050,2030,Low Risk (<20%)
Peru,Cajamarca,ssp126,mid_term,0.03848049277812243,0.019240246389061216,82.73305947296323,4300,2.5,Net-Zero 2050,2050,Low Risk (<20%)
Peru,Cajamarca,ssp245,near_term,0.032921744302846494,0.016460872151423247,70.78175025111996,4300,2.5,Delayed Transition,2030,Low Risk (<20%)
Peru,Cajamarca,ssp245,mid_term,0.05397066043165978,0.02698533021582989,116.03691992806853,4300,2.5,Delayed Transition,2050,Low Risk (<20%)
Peru,Cajamarca,ssp585,near_term,0.031149422326474448,0.015574711163237224,66.97125800192006,4300,2.5,Current Policies,2030,Low Risk (<20%)
Peru,Cajamarca,ssp585,mid_term,0.06038152063882444,0.03019076031941222,129.82026937347254,4300,2.5,Current Policies,2050,Low Risk (<20%)
Honduras,Copán,ssp126,near_term,0.10327831673412584,0.05163915836706292,160.08139093789504,3100,1.8,Net-Zero 2050,2030,Low Risk (<20%)
Honduras,Copán,ssp126,mid_term,0.11794235250074417,0.058971176250372084,182.81064637615347,3100,1.8,Net-Zero 2050,2050,Low Risk (<20%)
Honduras,Copán,ssp245,near_term,0.08515741779038218,0.04257870889519109,131.99399757509238,3100,1.8,Delayed Transition,2030,Low Risk (<20%)
Honduras,Copán,ssp245,mid_term,0.06488260326802264,0.03244130163401132,100.5680350654351,3100,1.8,Delayed Transition,2050,Low Risk (<20%)
Honduras,Copán,ssp585,near_term,0.09595725217286963,0.047978626086434814,148.73374086794792,3100,1.8,Current Policies,2030,Low Risk (<20%)
Honduras,Copán,ssp585,mid_term,0.09721331064566038,0.04860665532283019,150.6806315007736,3100,1.8,Current Policies,2050,Low Risk (<20%)
Rwanda,Northern Province,ssp126,near_term,0.021998273864854128,0.010999136932427064,37.39706557025202,3400,2.0,Net-Zero 2050,2030,Low Risk (<20%)
Rwanda,Northern Province,ssp126,mid_term,0.02551859547640197,0.012759297738200986,43.38161230988335,3400,2.0,Net-Zero 2050,2050,Low Risk (<20%)
Rwanda,Northern Province,ssp245,near_term,0.014495311653241517,0.007247655826620758,24.64202981051058,3400,2.0,Delayed Transition,2030,Low Risk (<20%)
Rwanda,Northern Province,ssp245,mid_term,0.02181735029281117,0.010908675146405585,37.08949549777899,3400,2.0,Delayed Transition,2050,Low Risk (<20%)
Rwanda,Northern Province,ssp585,near_term,0.004693402011645959,0.0023467010058229793,7.9787834197981296,3400,2.0,Current Policies,2030,Low Risk (<20%)
Rwanda,Northern Province,ssp585,mid_term,0.02994632866652682,0.01497316433326341,50.908758733095596,3400,2.0,Current Policies,2050,Low Risk (<20%)
